family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,n,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,loss_gap_mean,loss_gap_std
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,9,2,0.3200206204,0.002116854681,1.724931614,0.04024136419,1.404910994,0.04235821774
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,1,3,0.9468917722,0.0140577568,2.356307855,0.1045092971,1.409416083,0.09516277732
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,10,1,0.3193433429,,1.658643615,,1.339300272,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,11,1,0.285676402,,1.699763835,,1.414087433,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,12,1,0.2657891757,,1.544112895,,1.278323719,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,13,1,0.2441820589,,1.626608011,,1.382425952,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,14,1,0.2280981337,,1.508233857,,1.280135723,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,15,1,0.2083500407,,1.698138804,,1.489788763,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,2,3,0.7280613614,0.01729413106,2.136828657,0.06029758152,1.408767296,0.05606936659
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,3,3,0.6313656994,0.02205823534,2.124042941,0.200053166,1.492677242,0.1779962645
